Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition,Broad.phase.of.flight,Decade,Flight.Category,Year
2000-01-01,"homestead, fl",united states,non-fatal,substantial,Unknown,cessna,550,no,2.0,turbo fan,positioning,vmc,cruise,2000,Commercial,2000
2000-01-01,"monteagle, tn",united states,fatal(2),destroyed,Unknown,bellanca,bl-17-30a,no,1.0,reciprocating,personal,imc,cruise,2000,General Aviation,2000
2000-01-02,"victorville, ca",united states,non-fatal,substantial,Unknown,cessna,172g,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-01-02,"dos palos, ca",united states,non-fatal,substantial,Unknown,cessna,172a,no,1.0,reciprocating,instructional,vmc,cruise,2000,Training,2000
2000-01-02,"corning, ar",united states,non-fatal,substantial,Unknown,piper,pa-46-310p,no,1.0,turbo prop,personal,vmc,cruise,2000,General Aviation,2000
2000-01-02,"odessa, tx",united states,non-fatal,substantial,Unknown,piper,pa-46-310p,no,1.0,reciprocating,personal,vmc,climb,2000,General Aviation,2000
2000-01-02,"telluride, co",united states,fatal(1),destroyed,Unknown,cessna,421b,no,2.0,reciprocating,personal,imc,climb,2000,General Aviation,2000
2000-01-03,"houston, tx",united states,non-fatal,substantial,Unknown,cessna,a185f,no,1.0,reciprocating,personal,vmc,climb,2000,General Aviation,2000
2000-01-03,"cordesville, sc",united states,fatal(2),substantial,Unknown,piper,pa-24-180,no,1.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-01-04,"jackson, wy",united states,non-fatal,substantial,Unknown,beech,b200,no,2.0,turbo prop,personal,vmc,landing,2000,General Aviation,2000
2000-01-05,atlantic ocean,atlantic ocean,fatal(1),destroyed,Unknown,cessna,172r,no,1.0,reciprocating,instructional,vmc,descent,2000,Training,2000
2000-01-05,"brutus, ny",united states,non-fatal,substantial,Unknown,bell,206a,no,1.0,turbo shaft,aerial observation,vmc,maneuvering,2000,Aerial Work,2000
2000-01-06,"old forge, pa",united states,fatal(2),substantial,Unknown,cessna,310n,no,2.0,reciprocating,instructional,vmc,approach,2000,Training,2000
2000-01-06,"dunbar, wi",united states,fatal(1),destroyed,Unknown,beech,d-95a travelair,no,2.0,reciprocating,positioning,vmc,approach,2000,Commercial,2000
2000-01-07,"marysville, wa",united states,fatal(1),substantial,Unknown,cessna,150g,no,1.0,reciprocating,personal,vmc,climb,2000,General Aviation,2000
2000-01-07,"rialto, ca",united states,non-fatal,substantial,Unknown,cessna,177b,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-01-08,"harpswell, me",united states,non-fatal,substantial,Unknown,piper,pa-32r-301t,no,1.0,reciprocating,personal,vmc,takeoff,2000,General Aviation,2000
2000-01-08,"chino, ca",united states,non-fatal,substantial,Unknown,hawker,hunter f mk 4,no,1.0,turbo jet,ferry,vmc,approach,2000,Commercial,2000
2000-01-08,"huntsville, ut",united states,non-fatal,substantial,Unknown,cessna,172p,no,1.0,reciprocating,instructional,imc,maneuvering,2000,Training,2000
2000-01-08,"pueblo, co",united states,non-fatal,substantial,Unknown,piper,pa-28r-201,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-01-08,"rock springs, wy",united states,non-fatal,substantial,Unknown,piper,pa-23-250,no,2.0,reciprocating,personal,imc,cruise,2000,General Aviation,2000
2000-01-08,"macon, ga",united states,fatal(2),destroyed,Unknown,beech,23,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-01-09,"waynesburg, pa",united states,non-fatal,substantial,Unknown,bellanca,7eca,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-01-09,"sweeney, tx",united states,non-fatal,substantial,Unknown,piper,pa-32-300,no,1.0,reciprocating,instructional,vmc,cruise,2000,Training,2000
2000-01-09,"mount pleasant, sc",united states,fatal(1),destroyed,Unknown,mooney,m20m,no,1.0,reciprocating,personal,imc,maneuvering,2000,General Aviation,2000
2000-01-09,"albuquerque, nm",united states,non-fatal,substantial,Unknown,piper,pa-24-250,no,1.0,reciprocating,personal,vmc,standing,2000,General Aviation,2000
2000-01-10,"everett, wa",united states,non-fatal,substantial,Unknown,beech,d18s,no,2.0,reciprocating,positioning,imc,takeoff,2000,Commercial,2000
2000-01-10,"sherman, tx",united states,non-fatal,substantial,Unknown,taylorcraft,dco-65,no,1.0,reciprocating,personal,vmc,takeoff,2000,General Aviation,2000
2000-01-10,"angleton, tx",united states,non-fatal,substantial,Unknown,cessna,172r,no,1.0,reciprocating,aerial observation,vmc,landing,2000,Aerial Work,2000
2000-01-10,"coatesville, pa",united states,fatal(2),destroyed,Unknown,aerostar,601p,no,2.0,reciprocating,positioning,vmc,approach,2000,Commercial,2000
2000-01-11,"bradford, pa",united states,non-fatal,substantial,Unknown,piper,pa-46-310p,no,1.0,reciprocating,personal,imc,takeoff,2000,General Aviation,2000
2000-01-11,"mobile, az",united states,non-fatal,substantial,Unknown,beech,f-33a,no,1.0,reciprocating,instructional,vmc,climb,2000,Training,2000
2000-01-11,"lindrith, nm",united states,non-fatal,substantial,Unknown,bell,oh-58c,no,1.0,turbo shaft,public aircraft,vmc,maneuvering,2000,Government,2000
2000-01-11,"crows landing, ca",united states,fatal(2),destroyed,Unknown,arrow aircraft co.,oh-58a,no,1.0,turbo shaft,public aircraft,imc,cruise,2000,Government,2000
2000-01-13,"fillmore, ut",united states,non-fatal,substantial,Unknown,beech,k35,no,1.0,reciprocating,business,vmc,takeoff,2000,General Aviation,2000
2000-01-14,"kernville, ca",united states,non-fatal,substantial,Unknown,piper,pa-38-112,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
